Country_code,Country,Year_decision,Year_first_decision,Year_target,Target_minimum,Target_maximum,Target_average,Target_consistent,Unit,Target_type,RE_technology,Miscellaneous,Source,added_in_version,change_reason,status,status_changed_in_version
BRN,Brunei Darussalam,2014,2014,2035,,10.0,10.0,10.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2015_Full-Report_English.pdf,V3,New non-EU-27 observation added in V3,active,V3
BRN,Brunei Darussalam,2022,2014,2035,,30.0,30.0,30.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR-2023_Energy-Supply-Module.pdf,V3,New non-EU-27 observation added in V3,active,V3
BRN,Brunei Darussalam,2018,2018,2035,,10.0,10.0,10.0,Percent,Final energy,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/gsr_2019_full_report_en.pdf,V3,New non-EU-27 observation added in V3,active,V3
BGR,Bulgaria,2009,2009,2010,,11.0,11.0,11.0,Percent,Electricity ,All technologies,,https://www.ren21.net/Portals/0/documents/activities/gsr/REN21_GSR_2010_full_revised%20Sept2010.pdf,V1,,active,V1
BGR,Bulgaria,2014,2009,2020,,21.0,21.0,21.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2015_Full-Report_English.pdf,V1,,active,V1
BGR,Bulgaria,2019,2009,2020,,17.0,17.0,17.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/gsr_2020_full_report_en.pdf,V1,,active,V1
BGR,Bulgaria,2019,2009,2030,,57.0,57.0,57.0,Percent,Electricity ,All technologies ,,https://ember-energy.org/data/live-eu-necp-tracker/#data-tool,V1,,active,V1
BGR,Bulgaria,2023,2009,2030,,91.0,91.0,91.0,Percent,Electricity ,All technologies ,,https://ember-energy.org/data/live-eu-necp-tracker/#data-tool,V1,,active,V1
BGR,Bulgaria,2009,2009,2020,,16.0,16.0,16.0,Percent,Final energy,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2010_Full-Report_English.pdf,V1,,active,V1
BGR,Bulgaria,2019,2009,2030,,27.0,27.0,27.0,Percent,Final energy,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/gsr_2020_full_report_en.pdf,V1,,active,V1
BFA,Burkina Faso,2016,2016,2050,,100.0,100.0,100.0,Percent,Electricity ,All technologies,,https://www.ren21.net/wp-content/uploads/2019/05/GSR2017_Full-Report_English.pdf,V3,New non-EU-27 observation added in V3,active,V3
